id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
,,,,,,,,,,,,,,,,
1.26335E+18,Thu May 21 05:52:34 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @twitpos: Coba tebak dalam video dibawah dimana penerapan aturan PSBB atau aturan protokol kesehatan?
https://t.co/d7Z0gzyrsI",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  17 HOURS 07 MINUTES 19 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,"Sentiment(polarity=0.34, subjectivity=0.42000000000000004)",0.34,0.42,in,0,11,bantoro29_,FALSE,,twitpos,,
,,,,,,,,,,,,,,,,
1.26335E+18,Thu May 21 05:52:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @raihandmu: psbb tuh punten sorry baru bales,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  17 HOURS 07 MINUTES 19 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,"Sentiment(polarity=0.34, subjectivity=0.42000000000000004)",0.34,0.42,in,0,4853,jomaisvu,,,raihandmu,,
,,,,,,,,,,,,,,,,
1.26335E+18,Thu May 21 05:52:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dirgarambe: Indonesia telah memilih jalannya.

Lihat kondisi hari ini. Masyarakat cenderung abai. Pemerintah ingin segera ekonomi pulih…",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  17 HOURS 07 MINUTES 18 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,"Sentiment(polarity=0.34, subjectivity=0.42000000000000004)",0.34,0.42,in,0,15104,Dinda_KA,,,dirgarambe,"Semarang , Indonesia",
,,,,,,,,,,,,,,,,
1.26335E+18,Thu May 21 05:52:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ismailfahmi @Uki23 Psbb kurang efektif
Kalo gak diresmiin dengan psbb, maka usaha mengurangi pergerakan masyarakat… https://t.co/qg40ErP3uR",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  17 HOURS 07 MINUTES 18 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,"Sentiment(polarity=0.34, subjectivity=0.42000000000000004)",0.34,0.42,in,0,0,badaxcavendish,,,"ismailfahmi, Uki23",kampungkaum,
,,,,,,,,,,,,,,,,
1.26335E+18,Thu May 21 05:52:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PariAgoes: @VIVAcoid Bagaimana dengan ini min, apa gak melanggar PSBB ? https://t.co/kLKHYTb2Q5",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  17 HOURS 07 MINUTES 18 SECONDSVISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,"Sentiment(polarity=0.34, subjectivity=0.42000000000000004)",0.34,0.42,in,0,10,v_aji,FALSE,,"PariAgoes, VIVAcoid",sidoarjo - east java,
