id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266032436678242309,Thu May 28 15:43:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kangchilok2 @ayrifkiprayitno @muannas_alaidid PSBB dilonggarkan karena melihat perekonomian kerakyatan.
Soalnya diperketat pun gak diterapkan di masyarakat.
Apa perlu seperti di Italia?
Tembak ditempat jika melanggar?
Atau seperti India?
Gebuk pake rotan?
Nalar mana om?",psbb dilonggarkan melihat perekonomian kerakyatan diperketat tidak diterapkan masyarakat perlu italia tembak ditempat melanggar india gebuk pakai rotan nalar om,in,0,0,youcallme_V,,,"kangchilok2, ayrifkiprayitno, muannas_alaidid","San Francisco, CA",
1266032431808692226,Thu May 28 15:43:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Nadine_Oliv lah..ga psbb jga gampang rusak...,ga psbb gampang rusak,in,0,0,alunmirza,,,Nadine_Oliv,,
1266032394903011329,Thu May 28 15:43:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,294,annefazrii,,,ridwankamil,,
1266032391719546881,Thu May 28 15:43:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@inamirahma Plus kasus mereka udah turun, dan di bawah angka positif negara kita. Negara kita sirik liat orang udah duluan buka kegiatan, tapi ga liat kasus kita cuma ikut2an ingin buka kegiatan juga biar keliatan negara maju, padahal ampas. Artinya apa? PSBB ga ngaruh menurut aku loh ya 🙃",plus kasus turun angka positif negara negara sirik lihat duluan buka ga lihat kasus an buka biar negara maju ampas psbb ga berpengaruh loh,in,0,0,rikiqbal,,,inamirahma,"Bandung, Jawa Barat",
1266032388452126721,Thu May 28 15:43:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @infoPKU: Pemerintah Provinsi (Pemprov) Riau secara resmi tidak memperpanjang penerapan pembatasan sosial bersekala besar (PSBB) pada en…,pemerintah provinsi pemprov riau resmi tidak memperpanjang penerapan pembatasan sosial bersekala psbb en,in,0,11,SabrinaFeriza,,,infoPKU,Pekanbaru-Padang,
1266032378855608322,Thu May 28 15:43:35 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Korea Selatan aja yang kurvanya udah menurun (kasus terkonfirmasi &lt; 100) masih memberlakukan pembatasan sosial kembali setelah 75 orang dikonfirmasi positif per hari ini, Indonesia kasus masih &gt; 500 kasus tiap hari kok kekeh mau longgarin PSBB + pemberlakuan 'new normal'😩",korea selatan kurvanya menurun kasus terkonfirmasi lt memberlakukan pembatasan sosial dikonfirmasi positif indonesia kasus kasus kekeh longgarin psbb pemberlakuan new normal,in,0,0,fitrinovitas_,,,,Bumi | 10010334,
1266032376179613696,Thu May 28 15:43:34 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@clouddiees psbb gabole,psbb gabole,in,0,0,searieldose,,,clouddiees,,
1266032363957415941,Thu May 28 15:43:31 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @nafelton: Jadi gimana sih nasib corona di sini ini. Lockdown enggak, psbb gajelas, herd immunity bukan? Nyuruh stay home juga, ga stay…",sih nasib corona lockdown tidak psbb gajelas herd immunity bukan nyuruh stay home ga stay,in,0,134,galuhaff,,,nafelton,Indonesia,
1266032350770499585,Thu May 28 15:43:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lurino: PSBB itu seharusnya bukan diperpanjang, tapi diperkeras. Sebab buat apa panjang, kalo nggak keras... syukur2 lincah dan tahan l…",psbb bukan diperpanjang diperkeras panjang tidak keras syukur lincah tahan l,in,0,3499,Reginaddicts,,,lurino,"Jakarta Selatan, DKI Jakarta",
1266032342142869504,Thu May 28 15:43:26 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kota_Tangerang: Update Covid-19 di Kota Tangerang 28 mei 2020, kami merujuk pada data website covid19 resmi Pemerintah Kota Tangerang b…",update covid kota tangerang mei merujuk data website covid resmi pemerintah kota tangerang b,in,0,0,rif077,,,Kota_Tangerang,,
1266032300166275073,Thu May 28 15:43:16 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karena pada dasarnya manusia harus siap beradaptasi. walaupun PSBB diperpanjang sampai 2 bulan ke depan, tetap aja setelahnya kita memasuki era New Normal 😌 at least untuk beberapa saat. masa mau tiap saat ngomel ketika Pemerintah menentukan kebijakan? 😂 https://t.co/hup5UAddfd",dasarnya manusia beradaptasi psbb diperpanjang setelahnya memasuki era new normal at least ngomel pemerintah menentukan kebijakan,in,0,0,moonypooly,False,,,"Jakarta Selatan, DKI Jakarta",
1266032294495580160,Thu May 28 15:43:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,788,rizalekos_,False,,Praz_Teguh,,
1266032287478476800,Thu May 28 15:43:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @muchlis_ar: @MarikaRahman_ Apa maksud Jogja sejak awal new normal? 

Apa hanya karena Jogja pakek istilah Tanggap Darurat, dan bukan PS…",maksud jogja awal new normal jogja pakek istilah tanggap darurat bukan ps,in,0,4,BrataSe99075167,,,"muchlis_ar, MarikaRahman_",,
