id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265136865834864641,Tue May 26 04:25:08 +0000 2020,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","PSBB bikin lebaran tahun ini . Ketujuh film ini bakal menghibur kamu dengan sajian makanan yang bikin ngiler.

https://t.co/p6A6UBQqQx

#JalanTikus #TanyaJaka #TanyaMbakJT #Film #Anime #Manga #DramaKorea #KPop #Naruto #OnePiece #IndoXXI #Netflix https://t.co/UF2MHdjVaj",psbb bikin lebaran ketujuh film menghibur sajian makanan bikin,in,0,0,jalantikuscom,False,"JalanTikus, TanyaJaka, TanyaMbakJT, Film, Anime, Manga, DramaKorea, KPop, Naruto, OnePiece, IndoXXI, Netflix",,Jakarta Capital Region,
1265136861288099840,Tue May 26 04:25:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @anthraxxxx: Villagers in Indonesia using meriam buloh to chase outsiders from entering their kampung during PSBB https://t.co/fzvjEpWrzz,villagers in indonesia using meriam buloh to chase outsiders from entering their kampung during psbb,en,0,831,waffdle,False,,anthraxxxx,svt;day6;snsd,
1265136857391587330,Tue May 26 04:25:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,retiredslavista,,,ObiWan_Catnobi,,
1265136839762907142,Tue May 26 04:25:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NataliusPigai2: https://t.co/ljwKSAMOPV Apa otak Sy tdk jangkau  memahami arti PSBB?. Presiden hrs jadi panutan dan mampu membangun per…,otak tidak jangkau memahami arti psbb presiden panutan membangun,in,0,22,FaisalFirdaus93,False,,NataliusPigai2,Bogor,
1265136837598695424,Tue May 26 04:25:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PSBB Pacaran Sui Berujung Buyar..
.
.
Suoog!",psbb pacaran sui berujung buyar .. suoog,in,0,0,ferrians_,,,,Indonesia,"[[111.502223, -7.6499058], [111.541737, -7.6499058], [111.541737, -7.602344], [111.502223, -7.602344]]"
1265136821106696192,Tue May 26 04:24:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JukiHoki: Warga kelas atas khususnya para pengusaha pengen mall buka, bisnis jalan lagi, jadi dukung relaksasi PSBB.
Warga kelas bawah…",warga kelas pengusaha pengen mall buka bisnis jalan dukung relaksasi psbb warga kelas,in,0,34,pmstrhm,,,JukiHoki,"Surakarta, Indonesia",
1265136816169967618,Tue May 26 04:24:56 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MochatmaW: Diskusi kebangkitan PKI ricuh.
Sekarang PKI itu bebas mau bikin kegiatan apapun pasti dilindungi.

Perhatikan tidak mematuhi…",diskusi kebangkitan pki ricuh pki bebas bikin apapun dilindungi perhatikan tidak mematuhi,in,0,143,NgoenGata,,,MochatmaW,Aceh,
1265136802043592704,Tue May 26 04:24:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,chngkngexpress,,,ObiWan_Catnobi,Jakarta Capital Region,
1265136796985249792,Tue May 26 04:24:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Memasuki hari kedua Idul Fitri 1441 H, suasana Pantai Ancol sepi dari pengunjung akibat masih ditutup selama pemberlakuan PSBB. https://t.co/l77kE5IgN6",memasuki idul fitri h suasana pantai ancol sepi pengunjung akibat ditutup pemberlakuan psbb,in,0,0,tempodotco,False,,,Indonesia,
1265136793483005953,Tue May 26 04:24:51 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","di psbb ngelanggar, saiki mulai penerapan new normal nyalahno pemerintah aowkwowkwowkwowko karepmu wes menungshoOoOooOooo 👍",psbb ngelanggar saiki penerapan new normal nyalahno pemerintah aowkwowkwowkwowko karepmu wes menungshoooooooooo,in,0,0,terkiliis,,,,,
