id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266039172315230209,Thu May 28 16:10:35 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ridwankamil: Minggu ini 60% Kota/Kab Jabar sudah di zona Biru (level 2) dan 40 % di zona kuning (level 3]. Sudah tdk ada lagi yg di zon…,kota kabupaten jabar zona biru level zona kuning level tidak zon,in,0,342,cmdblck,,,ridwankamil,,
1266039166350983169,Thu May 28 16:10:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @kompascom: Pembukaan mal tidak berarti akan berdampak pada masyarakat kecil. Hal itu karena mal-mal lebih menyasar kepada kalangan mene…,pembukaan mal tidak berdampak masyarakat kecil mal mal menyasar kalangan mene,in,0,12,Gulagulalibosku,,,kompascom,"Bandung, Jawa Barat",
1266039153487044608,Thu May 28 16:10:30 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pemerintah tentunya sudah melakukan kajian/pertimbangan2 yg matang terkait diberlakukannya New Normal.
CATAT :
Presiden atau pemerintah tidak akan mencelakakan rakyatnya 

(Yang NYINYIR dgn New Normal adalah BARISAN SAKIT HATI)

__Jgn jadikan covid19 sbg komoditi politikmu__",pemerintah melakukan kajian pertimbangan matang terkait diberlakukannya new normal catat presiden pemerintah tidak mencelakakan rakyatnya nyinyir new normal barisan sakit hati jadikan covid sbg komoditi politikmu,in,0,0,HmfaqihA,,,,,
1266039147149422592,Thu May 28 16:10:29 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Covid19Update24: Indonesia #COVID19 growth rate is fastest in Asean Region, not looking to slow down anytime soon, will beat Singapore…",indonesia growth rate is fastest in asean region not looking to slow down anytime soon will beat singapore,en,0,111,Summa_CL,,COVID19,Covid19Update24,Road to Success🌟,
1266039127834636291,Thu May 28 16:10:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@iksansaptari Hahaha
Kokojo
Aing arek nonton pisan hindia 2 poe samemeh PSBB di tetap kan eh di batalkan eh di ganti jadwal",hahaha kokojo arek nonton hindia poe samemeh psbb kan eh batalkan eh ganti jadwal,in,0,0,Prayogaaaaaaa,,,iksansaptari,"Ciamis, Indonesia","[[108.391549, -7.363503], [108.494179, -7.363503], [108.494179, -7.293356], [108.391549, -7.293356]]"
1266039123531280384,Thu May 28 16:10:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Asknonym Itu lucu kok. Tapi pertanyaan gue pas u bilang u jalan2, kok lu bisa jalan2 dah? Ga ada psbb apa gimana itu di daerah lu?",lucu pas bilang jalan jalan deh ga psbb daerah,in,0,0,apotatohuman,,,Asknonym,Indonesia,
1266039120595304450,Thu May 28 16:10:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Bandungfess: Euy diperpanjang ceunah psbb na https://t.co/prJeyzBW4i,euy diperpanjang ceunah psbb na,in,0,72,Ririnrindiynt,False,,Bandungfess,,
1266039113712427010,Thu May 28 16:10:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Orang yg masih ga menerapkan social distancing atau psbb itu pikirannya mungkin ""semua makhluk hidup pasti mati"" yaa kalo anda mau mati gegara virus ya silahkan ,asal jng d sebarin virusnya dari badan anda .",ga menerapkan social distancing psbb pikirannya mungkin makhluk mati yaa mati gegara virus silahkan jng sebarin virusnya badan,in,0,0,DelimaOctaviani,,,,Bandung barat,
1266039107844595712,Thu May 28 16:10:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DrSukamta @FPKSDPRRI Bkn tidak mampu 
Tp sptinya dpt tekanan dr pengusaha2 Nya.
Kt sdh mau ikut2 org. Sdgkn org sdh pd sampe puncaknya
Nah kt baru mau naek udh di buka
Bwt apa psbb kmrin dana2 covid kly ujung2nya di suruh tempur.
Kshan perawat dokter berjibaku
Mending dl lockdown jd penangulangan cpt",bukan tidak sptinya tekanan dr pengusaha nya sdh sdh puncaknya naek buka psbb kmrin dana covid kly ujung nya suruh tempur kshan perawat dokter berjibaku lebih baik dl lockdown penangulangan cpt,in,0,0,SusiloI,,,"DrSukamta, FPKSDPRRI",Jakarta,
1266039100110323714,Thu May 28 16:10:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,Farhankemal,,,detikcom,,
