word,weight,number_of_words
hai,3,1
merekam,2,1
ekstensif,3,1
paripurna,1,1
detail,2,1
pernik,3,1
belas,2,1
welas,4,1
kabung,1,1
rahayu,4,1
maaf,2,1
hello,2,1
promo,3,1
terimakasih,5,1
cover,3,1
mohon,2,1
mengawal,2,1
statistik,1,1
keluangan,3,1
jalan terbuka,3,2
banyaknya,3,1
lebar,3,1
bentang,1,1
hendaknya,1,1
silahkan,3,1
semboyan,2,1
ditunggu,2,1
akses,2,1
penerangan,2,1
hi,1,1
dibantu,2,1
makasih,4,1
halo,1,1
thanks,3,1
pengembangan,3,1
diva,2,1
punya,3,1
tidak segan,2,2
detailnya,1,1
tak segan,2,2
aktivasi,2,1
asih,3,1
kasih sayang,5,2
kekaguman,4,1
kehangatan,4,1
afeksi,2,1
renjana,2,1
amor,2,1
cinta kasih,5,2
tresna,2,1
filantropi,2,1
cintrong,2,1
dinamika,3,1
tuhan,3,1
merespon,3,1
makmur,4,1
suka cita,4,2
pengguna,1,1
tunggu,1,1
lotre,2,1
nggak,1,1
kupon,3,1
terpelihara,4,1
terawat,5,1
tersadar,3,1
tari,1,1
gejolak,1,1
kejutan,3,1
pesta,4,1
getar,1,1
allah,5,1
berlabuh,3,1
terdaftar,1,1
negosiasi,2,1
revolusioner,3,1
follback,1,1
pelaminan,4,1
yasalamualaika,3,1
uang lelah,2,2
parsel,2,1
amplop,3,1
kenang-kenangan,3,1
pengasih,4,1
uang rokok,2,2
persenan,2,1
baksis,2,1
tanda mata,2,2
angpau,4,1
hibah,4,1
upa,2,1
bingkisan,4,1
suvenir,4,1
kesudian,2,1
berakar,2,1
para-para,2,1
termakan,1,1
kemasyhuran,4,1
reputasi,2,1
gelar,2,1
serep,2,1
invite,1,1
nyanyian,2,1
dendang,2,1
gita,2,1
gending,1,1
lagu,2,1
rintisan,2,1
bergelora,2,1
antusias,2,1
ringan tangan,4,2
membara,2,1
menyala,2,1
berlangganan,2,1
berdenyut,2,1
bersungguh-sungguh,4,1
rintis,2,1
jalan bebas hambatan,2,3
tarekat,2,1
bajing,1,1
bopong,1,1
berlezat,2,1
getaran,1,1
berperan serta,2,2
debar,2,1
raba,1,1
degub,1,1
ikut serta,3,2
berpartisipasi,3,1
menguntiti,1,1
penghayatan,3,1
mitra,2,1
diterima,2,1
sohib,3,1
beriktikad,2,1
berkeyakinan,3,1
beriman,3,1
percaya,2,1
menghajatkan,1,1
senyum,2,1
haloo,3,1
menarik hati,3,2
cedayam,2,1
hasan,3,1
tumandang,1,1
pengen,3,1
bener,3,1
hellooo,2,1
marilah,1,1
terbaik,5,1
ulung,4,1
good,5,1
silakan,1,1
main,2,1
alhamdulillah,5,1
unek-unek,2,1
sesalan,1,1
menyaksikan,1,1
pemenangnya,4,1
hiii,1,1
menyuarakan,3,1
menginterprestasikan,1,1
menaksir,3,1
menuturkan,3,1
memperkirakan,2,1
mengimla,1,1
mengantisipasi,3,1
menafsirkan,2,1
mengartikan,1,1
mengasosiasikan,3,1
borong,2,1
payu,2,1
membeli,2,1
membuat,1,1
tertawa kecil,4,2
minta,2,1
mengorak senyum,2,2
mesem,2,1
tersenyum,4,1
ok,4,1
ayo,4,1
mari,4,1
yuk,4,1
lincah,4,1
buru-buru,1,1
kencang,3,1
buntut,1,1
kilat,3,1
kunjung,3,1
mendahului,2,1
segera,3,1
lekas,2,1
akas,2,1
terampil,4,1
jeraus,2,1
pagi,1,1
pesat,3,1
sebat,1,1
kawal,1,1
berkawal,4,1
gugah,2,1
pustaka,4,1
sir-siran,2,1
pelihara,3,1
patroli,2,1
kitab,2,1
ronda,2,1
sambang,2,1
berguru,3,1
menuntut ilmu,4,2
melatih diri,4,2
menimba ilmu,4,2
mengaji,4,1
meneladan,4,1
mencari ilmu,4,2
luck,4,1
bersekolah,3,1
menggali ilmu,4,2
desak,1,1
menelaah,2,1
memahirkan,4,1
harmonisasiuniv,2,1
takut,1,1
sreg,2,1
penyatuan,3,1
wangi,4,1
pulas,4,1
merdu,5,1
harum,5,1
legit,4,1
inkorporasi,3,1
serundai,2,1
helloo,1,1
page,2,1
menyerempakkan,3,1
menyinkronkan,1,1
tolong,3,1
kediaman,2,1
panti,2,1
rumah,3,1
simplistis,3,1
menjejali,1,1
perfek,4,1
tayib,2,1
memejahijaukan,1,1
tayibah,2,1
jamil,2,1
mungil,3,1
rancak,5,1
mengisi,2,1
necis,4,1
menyidangkan,1,1
bagusan,2,1
estetis,4,1
firasat,1,1
cawis,2,1
berdandan,4,1
andini,2,1
indikasi,2,1
tersedia,4,1
tersaji,4,1
sholat,5,1
pastikan,3,1
tersuguh,2,1
perpanjangan,2,1
fiesta,3,1
terdamping,1,1
jomblo,1,1
medali,4,1
terdekat,1,1
artistik,4,1
wah,3,1
imut-imut,4,1
langkah baik,4,2
langkah kanan,3,2
guys,1,1
profit,4,1
waris,3,1
dominan,3,1
kooperasi,1,1
keras tulang,2,2
gedembal,2,1
tangguh,5,1
wedel,2,1
tapa,2,1
kedot,2,1
keikutsertaan,3,1
kesertaan,2,1
dibalas,2,1
kerja sama,4,2
tatap,1,1
berpengaruh,3,1
besar lengan,3,2
partisipasi,3,1
bedegap,3,1
peran serta,3,2
masif,2,1
gratis,4,1
membantu,4,1
busana,2,1
hasad,2,1
keki,1,1
free,3,1
wkwkwk,3,1
sangsi,1,1
berprasangka,1,1
bermaslahat,2,1
mujur,4,1
warisan,3,1
bersetuju,3,1
kenan,2,1
support,4,1
sahabat,4,1
gerimis,1,1
hujan,1,1
handai,3,1
kece,5,1
thank,4,1
hujan ringan,2,2
sobat,4,1
panjang tungkai,2,2
trims,4,1
doa,4,1
pacaran,3,1
berpacaran,3,1
teranyar,4,1
hallo,4,1
happy,5,1
ketemu,1,1
senjang,1,1
mudah-mudahan,1,1
modern,3,1
peranakan,2,1
pemudaan,2,1
masygul,3,1
gelebah,2,1
mending,2,1
regenerasi,4,1
simpel,3,1
sirap hati,1,2
puspa,4,1
mengenyam,1,1
merah telinga,1,2
bonafide,3,1
terbakar,1,1
bergairah,3,1
puspita,3,1
pelengkap,2,1
perempuan cantik,5,2
sewot,1,1
gusar,1,1
hiasan,3,1
kesuma,3,1
primadona,5,1
tulus ikhlas,5,2
senyuman,4,1
lugas,4,1
gemas,4,1
kusuma,4,1
yaudah,1,1
menyayang,4,1
menggemari,3,1
pasangan hidup,4,2
asah asih asuh,2,3
belom,1,1
hay,1,1
kepedulian,4,1
sepuh,1,1
kejelasan,1,1
seruh,2,1
terlukis,3,1
prosa,2,1
ketertarikan,4,1
cerita anak,2,2
bau tanah,1,2
atensi,2,1
tergambar,2,1
anekdot,2,1
mengamuk,1,1
shalat,4,1
lanjut,2,1
seneng,5,1
omong kosong,1,2
bombastis,2,1
fiksi,2,1
dzuhur,1,1
tips,4,1
kelonggaran,3,1
tq,4,1
respon,2,1
sirna,1,1
kelawasan,1,1
singgung,1,1
only,1,1
layanan,3,1
keluasan,3,1
langganan,4,1
resap,3,1
menyingsing,3,1
lelap,4,1
tembus,3,1
keringanan,2,1
beterbangan,2,1
lipur,2,1
sajak,2,1
mempertentangkan,1,1
peria,2,1
respons,3,1
jawaban,3,1
reaksi,2,1
kangen,3,1
tlg,3,1
sahutan,1,1
cepet,2,1
doang,1,1
lantik,3,1
akibat,1,1
sambutan,3,1
bersalin,3,1
wahyu,4,1
maha,4,1
terlindung,4,1
menetap,3,1
bersikukuh,1,1
rusuhan,1,1
meyakinkan,3,1
berkukuh,2,1
silang selisih,1,2
bersiteguh,1,1
syg,3,1
hii,3,1
pencegah,2,1
dependen,3,1
berteguh hati,4,2
berkuat,3,1
amin,3,1
tersampai,2,1
bersyukur,5,1
bergeming,1,1
nunggu,1,1
abis,1,1
bertekun,4,1
selamat,5,1
asmara,2,1
bertahan,4,1
suka-suka,3,1
gapaian,3,1
penguasaan,3,1
iritasi,1,1
mukhlis,3,1
senyap,1,1
terpukul,1,1
elite,5,1
asketisme,2,1
cita rasa,3,2
mampir,2,1
pasif,1,1
interferensi,2,1
membatu,2,1
lurus hati,3,2
geming,2,1
stagnan,1,1
membisu,1,1
cengkeraman,1,1
bungkam,1,1
raihan,2,1
asik,4,1
ready,1,1
sepantar,1,1
usikan,1,1
pantau,2,1
tunduk,1,1
karena Allah,2,2
fans,2,1
provokasi,1,1
terbaring,2,1
zuhud,2,1
sporadis,2,1
tertulang,2,1
capaian,4,1
rengkuhan,1,1
sukarela,4,1
sarannya,1,1
pesan,2,1
mencintaimu,4,1
menutup mulut,1,2
tidur,3,1
beribadat,4,1
yoga,1,1
sayid,3,1
dapet,2,1
mendoa,4,1
berharap,4,1
harap,3,1
berdoa,4,1
bersembahyang,5,1
berselawat,3,1
yes,3,1
berpasrah,3,1
buruan,1,1
semi,2,1
memanjatkan doa,4,2
top,5,1
mood,2,1
berzikir,4,1
kenal,3,1
kebahagiaan,4,1
dengerin,3,1
bertanding,2,1
berusaha,3,1
jempolan,4,1
yahud,4,1
berjihad,3,1
juang,3,1
bersangkut,1,1
mencolok,2,1
pasar uang,2,2
memikat,2,1
taut,2,1
bayar,1,1
menarik,4,1
hebring,3,1
seru,5,1
pukul,1,1
simak,3,1
memuaskan,5,1
aduhai,4,1
bergelanggang,2,1
hatiku,2,1
love,5,1
yuuk,4,1
pelipuran,2,1
profitabel,4,1
tebal telinga,1,2
senyumin,3,1
cuek,1,1
berlaba,4,1
peduli,4,1
insyaallah,2,1
berkhasiat,4,1
diem,2,1
menguntungkan,4,1
mulu,2,1
motivasi,3,1
berkat,1,1
apatis,1,1
berhikmah,2,1
berfaedah,4,1
purnama,2,1
mengagumkan,4,1
siph,2,1
inklusif,1,1
beneran,3,1
wewenang,2,1
mojang,2,1
lunch,3,1
aziz,2,1
fav,5,1
okay,4,1
melancarkan,3,1
nemenin,2,1
cicip,3,1
bunda,3,1
laun,1,1
waras,2,1
pinter,5,1
melorot,1,1
bilas,1,1
terjeblos,1,1
terjun,1,1
menggelincir,1,1
lunas,2,1
rebah,2,1
reparasi,3,1
gontai,1,1
sederhana,3,1
tumpuan,2,1
himpit,1,1
turunan,1,1
mudah,4,1
tumbang,1,1
live,3,1
memandu,3,1
gamblang,3,1
terjungkal,1,1
ngasih,3,1
penyempurnaan,3,1
asasi,3,1
gurufavorit,3,1
friends,3,1
tercemplung,1,1
rektifikasi,1,1
meringankan,2,1
mamak,2,1
lambat,1,1
memudahkan,3,1
terbanting,1,1
pencitraan,2,1
berikhtiar,3,1
belanja,2,1
andai,2,1
lingsir,2,1
murah,3,1
assalamualaikum,3,1
ibunda,3,1
luruh,2,1
fondasi,2,1
arabika,2,1
membayangkan,2,1
rekonsiliasi,4,1
copot,1,1
simbok,2,1
saldo,2,1
berjatuhan,1,1
tergelincir,1,1
memuluskan,3,1
rontok,1,1
islam,4,1
mama,4,1
filial,2,1
ujian,1,1
puterin,1,1
mengantongi,1,1
gugur,1,1
berbuah,2,1
bersila,2,1
inovasi,4,1
berumah tangga,2,2
berbakat,4,1
ngerti,1,1
menumpang tinggal,1,2
menggelesot,1,1
kuliah,1,1
berbunga,3,1
filsafat,3,1
berketurunan,2,1
tinggal,1,1
wafat,1,1
bertunangan,3,1
kepo,2,1
menongkrong,1,1
dimulai,1,1
tabungan,3,1
kuat,2,1
deposito,3,1
hy,1,1
mewarisi,3,1
komedi,3,1
fokus,3,1
bebodoran,2,1
lahir,3,1
deket,1,1
dewasa,2,1
menikah,4,1
tekad,4,1
bermukim,2,1
berpembawaan,1,1
pertukaran,1,1
dagelan,3,1
kasad,1,1
kelucuan,3,1
keduniaan,1,1
tawakal,3,1
cash,2,1
mengesahkan,2,1
pamrih,1,1
join,1,1
pancaroba,1,1
kunjungi,3,1
berdaya guna,4,2
modifikasi,2,1
mengirat,2,1
searah,1,1
khusyuk,3,1
adi,2,1
sob,2,1
beroperasi,1,1
didik,3,1
vote,1,1
iflix,1,1
gratifikasi,2,1
pamit,2,1
ekstra,3,1
bermohon,3,1
berdua,1,1
angguk,1,1
bepergian,1,1
joli,1,1
jodoh,3,1
terkoneksi,3,1
herbal,2,1
sesuai,3,1
sekata,3,1
laporkan,2,1
penghidupan,2,1
utopia,2,1
berkenan,2,1
rahim,2,1
